location,female-population,male-population,non-hispanic-white,hispanic-or-latino,non-hispanic-african-american-or-black,non-hispanic-asian-or-pacific-islander,total-population,male-population
albany-park,25446,26633,15349,25003,2215,8275,52079,26633
archer-heights,6913,6380,2578,10126,116,391,13293,6380
armour-square,6845,7162,1521,426,1348,10347,14007,7162
ashburn,21867,20885,5555,15455,20817,284,42752,20885
auburn-gresham,26044,19798,231,689,44402,126,45842,19798
austin,52770,44873,4353,11132,81066,481,97643,44873
avalon-park,5533,4280,53,62,9553,59,9813,4280
avondale,19722,19999,12327,24563,842,1305,39721,19999
belmont-cragin,40582,38628,11298,63377,2485,1187,79210,38628
beverly,10837,9978,11604,1414,7257,101,20815,9978
bridgeport,16820,17119,10842,9558,951,11726,33939,17119
brighton-park,21473,22729,2844,37620,677,2955,44202,22729
burnside,1227,1374,0,0,2601,0,2601,1374
calumet-heights,7831,5901,308,443,12835,5,13732,5901
chatham,17679,13680,388,287,30297,129,31359,13680
chicago-lawn,29409,26142,1873,26377,26100,529,55551,26142
clearing,13182,11780,11871,12361,140,319,24962,11780
douglas,11515,8808,2165,485,14365,2917,20323,8808
dunning,21746,21279,28340,11448,1035,1800,43025,21279
east-garfield-park,10910,9755,878,728,18862,57,20665,9755
east-side,12216,11601,4049,18992,684,28,23817,11601
edgewater,26842,28031,29912,8918,7853,6340,54873,28031
edison-park,5876,5480,9926,1063,120,167,11356,5480
englewood,14242,11879,199,682,24810,76,26121,11879
forest-glen,9633,8804,13242,2204,177,2470,18437,8804
fuller-park,1237,1220,37,152,2268,0,2457,1220
gage-park,20020,21182,1460,38009,1342,350,41202,21182
garfield-ridge,18046,17586,16852,16618,1462,422,35632,17586
grand-boulevard,12946,9804,719,574,20624,117,22750,9804
greater-grand-crossing,18076,14270,466,358,31077,22,32346,14270
hegewisch,4155,4797,4078,4243,566,0,8952,4797
hermosa,12436,13053,1880,22491,379,355,25489,13053
humboldt-park,28305,26706,2958,28612,22481,271,55011,26706
hyde-park,13909,12984,12584,1891,8047,3244,26893,12984
irving-park,28102,28418,22650,26359,1271,4641,56520,28418
jefferson-park,14021,13243,17761,6218,250,2444,27264,13243
kenwood,9208,8393,2978,667,11916,1520,17601,8393
lake-view,49356,48856,78186,7125,3428,6764,98212,48856
lincoln-park,33791,33168,53676,4418,3204,3806,66959,33168
lincoln-square,20344,20417,26405,7184,1398,4480,40761,20417
logan-square,36741,37808,32784,34677,3452,2124,74549,37808
loop,17230,16212,20378,2156,4131,5745,33442,16212
lower-west-side,16513,17897,4617,27693,1117,598,34410,17897
mckinley-park,8266,8070,2802,9612,507,3136,16336,8070
montclare,,,,,,,,
morgan-park,15813,13300,10134,2413,15891,90,29113,13300
mount-greenwood,9698,9085,16289,1205,664,383,18783,9085
near-north-side,46527,39184,61334,4530,7910,9723,85711,39184
near-south-side,11537,10864,10404,1393,5382,4450,22401,10864
near-west-side,31337,30431,25876,6186,18772,9626,61768,30431
new-city,20707,20376,5094,24990,9832,815,41083,20376
north-center,17235,17388,26322,4987,674,1493,34623,17388
north-lawndale,19271,16005,811,2470,31397,99,35276,16005
north-park,9315,9127,9358,3632,473,4541,18442,9127
norwood-park,21275,20204,33792,4765,336,1744,41479,20204
oakland,3833,2589,142,209,5946,109,6422,2589
ohare,10983,11032,15359,3776,195,2048,22015,11032
portage-park,32381,32465,32643,27108,812,2918,64846,32465
pullman,3734,2767,464,551,5380,34,6501,2767
riverdale,4013,3077,77,278,6676,26,7090,3077
rogers-park,27284,27118,22769,13135,13320,3501,54402,27118
roseland,23655,18850,557,450,40846,185,42505,18850
south-chicago,15429,12666,782,6083,20818,116,28095,12666
south-deering,8386,6919,592,4580,9971,8,15305,6919
south-lawndale,32748,41078,2267,62928,8158,181,73826,41078
south-shore,28165,20990,1084,784,45990,115,49155,20990
uptown,26857,28280,30371,6402,11445,4854,55137,28280
washington-heights,15348,11768,351,287,25968,0,27116,11768
washington-park,7056,5025,48,158,11595,9,12081,5025
west-elsdon,9570,9622,3235,15385,262,303,19192,9622
west-englewood,16886,15270,235,1563,29955,19,32156,15270
west-garfield-park,9449,8284,315,353,16954,61,17733,8284
west-lawn,16159,16590,4989,26395,1067,178,32749,16590
west-pullman,17393,14097,468,1370,29421,67,31490,14097
west-ridge,35877,36334,31978,12672,8110,16868,72211,36334
west-town,41751,43831,49892,23239,6466,3413,85582,43831
woodlawn,14813,11633,1885,695,22555,814,26446,11633
